Price,Date,Postcode,Year
1170000,2019-05-16,NW6 1EB,2019
55620,2019-04-25,SW5 0JJ,2019
310000,2019-03-29,SE18 2EL,2019
1028770,2019-03-14,NW1 0QT,2019
797000,2019-05-23,BR2 7HE,2019
837000,2019-06-20,BR2 7DN,2019
565000,2019-06-06,BR2 0BD,2019
380000,2019-05-20,DA7 5PE,2019
410000,2019-06-14,DA7 5EY,2019
472500,2019-05-29,BR6 7AR,2019
372500,2019-05-01,BR1 5RQ,2019
195000,2019-04-25,SE27 9NH,2019
740972,2019-03-14,SE18 1QG,2019
1210000,2019-03-28,SE15 4NF,2019
921762,2019-03-14,N5 1ND,2019
47000,2019-05-01,W6 0NJ,2019
1325512,2019-05-07,W2 6ET,2019
1900000,2019-05-01,N16 0QP,2019
265000,2019-04-24,SE18 2SF,2019
6800,2019-04-30,SW6 6RH,2019
86450,2019-04-17,N16 8SD,2019
690000,2019-05-08,E5 0PR,2019
775000,2019-05-03,SW6 7ND,2019
950000,2019-05-10,W1H 1JX,2019
410000,2019-04-05,SE3 8NL,2019
30000,2019-05-03,N4 2JJ,2019
420000,2019-04-26,SE17 2AX,2019
420000,2019-04-26,SE17 2AX,2019
170000,2019-05-02,W8 6QN,2019
2100000,2019-04-26,NW1 2JJ,2019
1600000,2019-04-17,E5 9BW,2019
450000,2019-02-08,SE3 0PQ,2019
450000,2019-04-30,SW17 9LN,2019
2000000,2019-03-29,W2 3QH,2019
55000,2019-04-18,SW11 5SN,2019
14750,2019-05-22,SW2 5JP,2019
4000,2019-05-02,SE22 8JF,2019
1710000,2019-04-18,HA7 1BU,2019
1700000,2019-05-03,N4 4SS,2019
127000,2019-05-17,UB3 1PS,2019
1080000,2019-05-01,N15 6UH,2019
25500,2019-05-14,HA1 1LD,2019
1580000,2019-05-03,N8 0JR,2019
400000,2019-04-15,EN1 3HP,2019
292500,2019-04-16,N9 9EE,2019
615000,2019-05-02,HA3 0PD,2019
1500000,2019-05-03,N8 0SD,2019
105000,2019-05-03,N18 2XU,2019
460000,2019-05-03,HA1 4HN,2019
835000,2019-05-03,NW4 3RR,2019
330000,2019-03-29,EN3 5UH,2019
