Price,Date,Postcode,Year
1220000,2015-10-16,SW16 1NT,2015
370000,2015-08-28,E17 5QH,2015
430000,2015-03-12,N4 3LG,2015
710000,2015-07-24,BR7 5DX,2015
433000,2015-08-04,SM4 5RA,2015
340000,2015-03-13,CR4 3GF,2015
455000,2015-08-21,UB8 3ND,2015
256000,2015-06-29,RM13 9BE,2015
9100000,2015-04-10,SW1X 9JU,2015
375000,2015-03-16,EN5 1SL,2015
260000,2015-08-28,E10 5BH,2015
3700000,2015-02-27,SW19 5DG,2015
435000,2015-07-22,SW9 9TB,2015
325000,2015-02-20,SE23 2BG,2015
430000,2015-02-23,E6 3AB,2015
571000,2015-08-28,NW9 9PT,2015
850000,2015-06-30,KT3 3UY,2015
325000,2015-06-12,W14 9EH,2015
359060,2015-01-09,CR0 1DS,2015
433000,2015-01-09,E11 4AE,2015
407000,2015-09-02,NW8 0JD,2015
330000,2015-06-09,E1W 3AR,2015
230000,2015-05-20,CR0 4NT,2015
295000,2015-01-22,SE18 6FL,2015
1015000,2015-09-21,KT1 4BE,2015
760000,2015-03-30,W1H 1TG,2015
300000,2015-03-19,SE14 5BA,2015
87500,2015-01-09,SE16 2PY,2015
1295000,2015-03-02,SE21 7BE,2015
467500,2015-07-10,IG8 8LT,2015
225000,2015-07-31,DA14 4HY,2015
245000,2015-08-21,DA17 6DL,2015
350000,2015-08-07,E17 8JB,2015
1900000,2015-04-07,NW6 6AH,2015
470000,2015-04-13,TW12 1RT,2015
550000,2015-03-05,W13 0DX,2015
353000,2015-02-23,E14 6TP,2015
388000,2015-03-06,E8 3BH,2015
365000,2015-03-18,HA9 8FF,2015
300000,2015-08-21,BR2 8NR,2015
194000,2015-01-27,SW16 1SG,2015
1895000,2015-09-07,N2 0DG,2015
417500,2015-07-09,SW2 4DH,2015
585000,2015-05-11,E2 6JD,2015
195000,2015-01-05,N8 7NU,2015
2150000,2015-01-06,N2 0EW,2015
391500,2015-02-27,SM1 3EA,2015
1487000,2015-08-10,SW16 2EU,2015
439000,2015-05-21,SE16 7BW,2015
357000,2015-09-11,CR2 0AQ,2015
280000,2015-05-19,HA4 9DZ,2015
500000,2015-02-17,SW11 4DF,2015
280000,2015-06-05,CR8 3AA,2015
735000,2015-02-19,EC4A 1DT,2015
358500,2015-01-23,HA4 7RA,2015
460000,2015-02-10,TW2 7HJ,2015
345000,2015-02-06,E17 5LD,2015
340000,2015-09-16,SE15 3BL,2015
425000,2015-02-20,NW5 3AN,2015
220000,2015-07-30,CR4 4FD,2015
450000,2015-06-05,UB8 2PL,2015
330000,2015-07-28,TN16 3PJ,2015
335000,2015-01-14,CR4 2BU,2015
