Price,Date,Postcode,Year
354000,2018-08-03,BR6 0TR,2018
392000,2018-07-27,KT6 5BH,2018
545000,2018-08-24,SW17 0PS,2018
269000,2018-06-29,BR6 6AX,2018
335000,2018-08-16,DA7 5QZ,2018
1015000,2018-07-27,TW11 8QN,2018
480000,2018-07-06,SW2 3TP,2018
200000,2018-07-30,DA1 4SR,2018
311000,2018-06-29,CR2 0PF,2018
255000,2018-07-30,CR0 4RY,2018
415000,2018-08-13,SW14 7LR,2018
2765000,2018-07-18,SW15 6AL,2018
420000,2018-07-19,BR1 4DG,2018
290000,2018-07-31,KT3 3AF,2018
310000,2018-08-03,DA14 6BH,2018
750000,2018-08-07,SW17 0NP,2018
365000,2018-05-25,KT2 7BP,2018
310000,2018-07-25,SW18 3JE,2018
1550000,2018-08-20,SW19 1SU,2018
337500,2018-07-20,DA15 8LN,2018
600000,2018-08-02,SE13 7AH,2018
275000,2018-07-26,SM2 6AY,2018
403000,2018-07-19,SE2 0BW,2018
400000,2018-05-10,CR5 1AS,2018
470000,2018-05-24,TN16 3HH,2018
315000,2018-07-06,KT9 2LQ,2018
425000,2018-07-10,SW18 3JE,2018
185000,2018-06-06,DA1 4ST,2018
1210000,2018-07-27,SE24 0AQ,2018
1055000,2018-08-08,SW18 3AR,2018
493000,2018-07-27,BR1 5AY,2018
850000,2018-07-16,BR2 7AH,2018
246000,2018-07-27,SM2 6QX,2018
345000,2018-05-25,SM5 2SF,2018
346000,2018-08-02,CR0 1JQ,2018
520000,2018-07-24,SE9 3JY,2018
410000,2018-07-23,BR3 1QG,2018
462500,2018-07-20,BR1 2SW,2018
338000,2018-07-18,DA8 1BX,2018
445000,2018-08-08,SM1 1QX,2018
383000,2018-07-23,DA8 1YA,2018
230000,2018-07-25,CR7 7NA,2018
465000,2018-05-18,SE26 5JD,2018
880000,2018-07-10,BR5 1GW,2018
450000,2018-07-27,SM1 3TL,2018
487500,2018-07-11,BR3 3SD,2018
277500,2018-07-06,CR0 4NT,2018
303000,2018-07-26,BR5 3DY,2018
605000,2018-07-10,DA6 7HY,2018
236500,2018-08-03,CR2 6QB,2018
885000,2018-08-17,KT6 6JW,2018
580000,2018-07-06,BR5 2QX,2018
382000,2018-06-11,DA16 2AH,2018
2400000,2018-08-17,SW20 0JP,2018
325000,2018-07-06,SE19 2BG,2018
290000,2018-07-27,SM1 2AZ,2018
285000,2018-07-05,CR8 2JY,2018
370000,2018-07-31,DA16 3LE,2018
305000,2018-07-27,KT6 6HG,2018
680000,2018-08-10,DA16 2AP,2018
520000,2018-08-03,CR5 3HB,2018
450000,2018-07-31,BR7 5AZ,2018
375000,2018-07-26,SM4 5SP,2018
350000,2018-01-12,SW19 2AP,2018
551000,2018-10-12,EN5 4EB,2018
342000,2018-05-17,SW18 1JL,2018
785000,2018-08-03,SW17 7PW,2018
263000,2018-08-02,SM6 8QU,2018
415000,2018-07-27,SE26 4SF,2018
2350000,2018-07-27,SW13 9RZ,2018
438500,2018-07-27,CR0 6UR,2018
650000,2018-07-20,SW16 6SN,2018
205000,2018-07-30,BR1 3HS,2018
450000,2018-07-20,DA7 4BN,2018
482500,2018-08-23,SE17 1EZ,2018
450000,2018-07-27,CR5 1HR,2018
460000,2018-07-12,SE26 6JX,2018
550000,2018-07-27,SE13 6DS,2018
363000,2018-07-06,SW16 1DN,2018
435000,2018-06-22,DA5 3DX,2018
2175000,2018-08-03,SW14 8BH,2018
525000,2018-07-27,SE9 3LH,2018
